City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,klaksvik,62.2266,-6.589,275.66,62,100,8.81,FO,1682425369
84,carnarvon,-24.8667,113.6333,292.95,54,8,7.71,AU,1682425369
85,tsiombe,-25.3,45.4833,298.93,54,38,4.94,MG,1682425369
86,richards bay,-28.783,32.0377,299.28,70,83,4.55,ZA,1682425370
87,nagqu,31.5,92.0,270.29,79,100,2.31,CN,1682425370
88,gaspe,48.8334,-64.4819,275.1,100,75,1.54,CA,1682425145
89,greymouth,-42.4667,171.2,287.52,91,94,8.53,NZ,1682425370
90,manokwari,-0.8667,134.0833,300.0,82,49,0.97,ID,1682425313
91,whitehorse,60.7161,-135.0538,269.58,79,20,2.06,CA,1682425196
92,el abiodh sidi cheikh,32.893,0.5484,300.59,19,0,2.13,DZ,1682425370
93,ararangua,-28.9347,-49.4858,292.4,77,12,1.56,BR,1682425371
94,ofunato,39.0717,141.7167,281.23,66,100,1.71,JP,1682425371
95,vadso,70.0744,29.7487,275.24,64,40,11.83,NO,1682425188
96,afantou,36.2935,28.1623,293.99,56,0,3.09,GR,1682425371
97,griffith,41.5284,-87.4237,279.41,85,100,2.57,US,1682425371
98,ribeira grande,38.5167,-28.7,292.37,82,20,4.92,PT,1682425371
99,nova sintra,14.8667,-24.7167,293.19,76,0,7.85,CV,1682425371
100,anadyr,64.75,177.4833,261.43,72,0,4.0,RU,1682425371
101,harpanahalli,14.8,75.9833,304.8,36,29,8.84,IN,1682425372
102,ilulissat,69.2167,-51.1,274.16,75,75,2.57,GL,1682425372
103,uliastay,47.7417,96.8444,281.59,29,96,7.13,MN,1682425372
104,lebu,-37.6167,-73.65,283.83,83,96,1.39,CL,1682425372
105,rikaze,29.25,88.8833,284.67,13,97,3.25,CN,1682425373
106,flin flon,54.7682,-101.865,271.06,64,40,2.06,CA,1682425373
107,blackmans bay,-43.0167,147.3167,287.33,75,0,2.77,AU,1682425373
108,st. john's,47.5649,-52.7093,275.81,96,100,8.94,CA,1682425112
109,tazovsky,67.4667,78.7,270.95,87,99,6.01,RU,1682425373
110,bechar,31.6167,-2.2167,303.38,17,2,2.87,DZ,1682425374
111,dudinka,69.4058,86.1778,275.72,91,98,3.1,RU,1682425374
112,papatowai,-46.5619,169.4708,283.5,80,95,9.02,NZ,1682425374
113,pisco,-13.7,-76.2167,293.18,88,46,0.51,PE,1682425125
114,nadym,65.5333,72.5167,273.27,85,90,2.51,RU,1682425374
115,kiruna,67.8557,20.2251,274.66,32,0,3.6,SE,1682425374
116,shache,38.4167,77.2406,299.89,11,25,0.93,CN,1682425374
117,saipan,15.1355,145.701,300.54,100,40,7.72,MP,1682425375
118,karaj,35.8355,51.0103,297.44,27,100,6.17,IR,1682425375
119,iskateley,67.6803,53.1512,272.88,87,10,6.52,RU,1682425375
120,vernon,50.2581,-119.2691,278.57,70,82,1.54,CA,1682425296
121,bilaspur,22.0833,82.15,308.67,20,79,2.12,IN,1682425375
122,wailua homesteads,22.0669,-159.378,294.39,85,75,3.6,US,1682425375
123,west island,-12.1568,96.8225,300.14,78,75,7.72,CC,1682425376
124,mugia,43.1041,-9.2179,291.99,92,99,7.48,ES,1682425376
125,fale old settlement,-9.3852,-171.2468,301.96,77,62,4.21,TK,1682425376
126,kaihua,23.3687,104.28,288.25,75,67,2.46,CN,1682425376
127,yarkovo,57.4028,67.0786,293.72,33,3,4.82,RU,1682425376
128,tiksi,71.6872,128.8694,262.18,99,99,2.37,RU,1682425376
129,princeville,45.7668,-61.2985,279.77,80,100,2.06,CA,1682425377
130,tank,32.2217,70.3793,308.64,11,60,1.52,PK,1682425377
131,prince rupert,54.3161,-130.3201,278.98,96,100,2.06,CA,1682425185
132,akjoujt,19.6969,-14.4164,310.54,9,1,5.16,MR,1682425377
133,lucas,41.6501,-83.6666,277.44,79,100,1.54,US,1682425377
134,longyearbyen,78.2186,15.6401,268.06,68,0,1.03,SJ,1682425378
135,suva,-18.1416,178.4415,296.86,94,75,0.0,FJ,1682425378
136,puerto ayora,-0.7393,-90.3518,295.68,98,3,1.95,EC,1682425378
137,baikonur,45.6167,63.3167,297.46,14,8,9.91,KZ,1682425378
